Названия строк,Количество по полю убыток,Сумма по полю З_ОТ,Сумма по полю У_ОТ,Процент
Карачаево-Черкесская Республика,10,1747206,1363339,"21,97%"
Кабардино - Балкарская Республика,11,2257260,1672609,"25,90%"
Республика Адыгея,9,1428702,1055555,"26,12%"
Смоленская область,26,5349425,3617958,"32,37%"
Астраханская область,11,2030833,1372365,"32,42%"
Ставропольский край,18,3345762,2242400,"32,98%"
Калининградская область,8,"874156,9","581628,5","33,46%"
Ярославская область,46,4413383,2916174,"33,92%"
Липецкая область,52,7753630,4904413,"36,75%"
Республика Бурятия,14,2425613,1517245,"37,45%"
Псковская область,5,864444,527289,"39,00%"
Костромская область,56,7615417,4514906,"40,71%"
Калужская область,30,2660002,1549931,"41,73%"
Белгородская область,44,2895973,1673337,"42,22%"
Камчатский край,6,286269,161680,"43,52%"
Саратовская область,41,4257838,2386154,"43,96%"
Республика Тыва,1,243300,134100,"44,88%"
Воронежская область,194,30306199,16486336,"45,60%"
Республика Татарстан,58,8923866,4680557,"47,55%"
Алтайский край,11,1591468,828747,"47,93%"
Приморский край,58,4173582,2144645,"48,61%"
Республика Марий Эл,59,2520168,1292896,"48,70%"
Республика Коми,54,5620430,2759120,"50,91%"
Мурманская область,26,4111715,1993661,"51,51%"
Архангельская область,197,12554912,6054712,"51,77%"
Республика Карелия,17,1883251,"903592,4","52,02%"
Ростовская область,14,1681205,804021,"52,18%"
Удмуртская Республика,51,4734997,2131715,"54,98%"
(пусто),2,39640,17600,"55,60%"
Курская область,20,1792264,"795259,3","55,63%"
Ханты-Мансийский автономный округ - Югра,17,2185072,"967848,9","55,71%"
Амурская область,12,3687244,1626243,"55,90%"
Краснодарский край,88,20249907,8521029,"57,92%"
Пензенская область,67,5034894,2083074,"58,63%"
Омская область,15,1561687,631135,"59,59%"
Сахалинская область,2,130247,52350,"59,81%"
Город Санкт-Петербург,41,6736401,2682979,"60,17%"
Нижегородская область,100,11153404,4259634,"61,81%"
Челябинская область,65,8505459,3236789,"61,94%"
Тамбовская область,17,1178809,"447583,9","62,03%"
Хабаровский край,37,4400854,1649749,"62,51%"
Республика Башкортостан,193,18240288,6823594,"62,59%"
Кемеровская область,33,3111661,1153942,"62,92%"
Волгоградская область,24,3240960,1176479,"63,70%"
Рязанская область,22,1896868,"677044,5","64,31%"
Новосибирская область,68,9199466,3279644,"64,35%"
Кировская область,41,2602023,"913426,7","64,90%"
Тверская область,21,2284359,"743324,8","67,46%"
Московская область,52,8449749,2710835,"67,92%"
Курганская область,11,945591,"302030,2","68,06%"
Республика Ингушетия,2,364300,"115480,7","68,30%"
Вологодская область,53,5642882,1758548,"68,84%"
Свердловская область,48,5318414,1632575,"69,30%"
Новгородская область,5,"444359,7","133074,4","70,05%"
Брянская область,13,1596095,"449264,4","71,85%"
Чувашская Республика - Чувашия,21,2270108,"609393,5","73,16%"
Иркутская область,36,4971268,1311550,"73,62%"
Пермский край,27,2629260,"683129,7","74,02%"
Красноярский край,42,3199605,"830343,1","74,05%"
Владимирская область,13,2248820,557688,"75,20%"
Орловская область,6,"696971,2",167308,"75,99%"
Тульская область,22,2569038,"565790,6","77,98%"
Ульяновская область,40,4318131,"873413,3","79,77%"
Тюменская область,23,3477127,"689258,1","80,18%"
Оренбургская область,29,3628577,"540370,4","85,11%"
Томская область,15,"844575,3",120690,"85,71%"
Республика Хакасия,5,1289155,"161452,5","87,48%"
Самарская область,14,1957225,"232286,9","88,13%"
Ивановская область,20,2321584,"244471,8","89,47%"
Город Москва,108,32954248,3106674,"90,57%"
Республика Северная Осетия - Алания,15,9402586,848263,"90,98%"
Ямало-Ненецкий автономный округ,4,1079300,88802,"91,77%"
Республика Крым,11,"721603,7",57447,"92,04%"
Республика Саха (Якутия),4,"317746,2",21085,"93,36%"
Республика Дагестан,9,1876900,114430,"93,90%"
Забайкальский край,9,"944535,1",12500,"98,68%"
Республика Мордовия,5,"899824,1","8406,53","99,07%"
Ленинградская область,3,"658303,5",0,"100,00%"
Чеченская Республика,2,687367,0,"100,00%"
Магаданская область,1,30400,0,"100,00%"
Ненецкий автономный округ,1,229111,0,"100,00%"
Республика Алтай,1,"288313,3",0,"100,00%"
Республика Калмыкия,1,66200,0,"100,00%"